가게 이름,댓글,작성 날짜
패밀리레스토랑,토마토치즈파스타를 한입 머금은 맛입니다 양갈비도 정말 부드러워요 세조각있고 채소 볶음이 맛나요 이 국적인 맛이 강해서 색다른 음식 즐기기 좋을것...,22.9.20.화.화
패밀리레스토랑,좋아요!,23.10.15.일.일
패밀리레스토랑,러시아음식을 한국인 입맛에도 부담 없이 먹을 수 있 는 곳이예요. 닭고기샤슬릭 그릭샐러드 보르쉬 두 명 이서 배부르게 먹었어요. 보르쉬는 소고기가 들...,22.9.15.목.목
패밀리레스토랑,가게가 너무 예쁘게 잘 꾸며져 있고 서빙해주시는 분 도 러시아 복장으로 입고 계신데 넘 예쁘시고 친절하 시더라고요 다들 러시아분이신데 한국말도 잘 ...,22.8.24.수.수
패밀리레스토랑,"레스토랑 분위기 따뜻하고 아기자기한 소품이 많네요. ^^ 음식도 맛있고 서빙해주시는 분 친절하시네요. 
맛있는 식사 잘 하고 왔습니다~!",22.12.24.토.토
패밀리레스토랑,맛있어용,23.6.3.토.토
패밀리레스토랑,갈때마다 먹는 골룹쯔와 만두요리는 오늘도 맛있었고 새로 도전한 연어요리도 역시나 맛있었습니다~,22.9.28.수.수
패밀리레스토랑,러시아 요리라니… 넘나 특이하고 맛있네요 ㅎㅎ 이색적인 요리라 좋았습니다!!😛,22.10.1.토.토
패밀리레스토랑,😄,23.4.17.월.월
패밀리레스토랑,🤭,23.4.17.월.월
패밀리레스토랑,작년부터 눈여거 본곳이라 가보고 싶었던 곳인데 이 국적이고 맛있습니다 인테리어도 괜찮고요 직원도 유 창하게 한국어를 잘하시고 친절합니다 가격에 ...,22.8.2.화.화
패밀리레스토랑,동대문바이브와는 조금 다른 깔끔함,23.1.8.일.일
패밀리레스토랑,"깔끔한 내부에, 러시아 전통의상을 입은 직원분이 아 주 친절하고 능숙하게 한국어로 서빙를 봐주시는데요 . 내부 인테리어가 아기자기하고, 이국적인 느...",22.6.28.화.화
패밀리레스토랑,맛나고 특이한 분이기 좋아요,23.1.3.화.화
패밀리레스토랑,친절하고 맛도 있고 특별한메뉴로 독특한 식당이라 남자분들은 여자 데리고오면 반은 넘어올것 같은 식당 ㅋㅋ 메뉴 하나하나 다 맛있음~♡,22.10.11.화.화
패밀리레스토랑,맛나요!,23.2.21.화.화
패밀리레스토랑,맛있어요,23.3.11.토.토
패밀리레스토랑,특별한음식먹고싶어서 이태원갔다가 검색해서갔어 요.루프탑있는 레스토랑이였고 분위기도좋았어요.러 시아음식은 처음인데 아주맛있었고 다음에 또...,22.5.26.목.목
패밀리레스토랑,러시아 여행 간 너낌 뿜뿜이예요!! 곳곳에 러시아 소품 들이 가득해서 보는 재미+ 음식이 맛있어요 러시아 현 지인 분들이 운영하셔서 그런지 찐 러시아 음식...,22.6.24.금.금
패밀리레스토랑,,23.1.20.금.금
패밀리레스토랑,"처음 와보는 러시아 음식점인데 정말 음식도 맛있고 
재미있었어요! 보드카 샷으로 처음 마셔보는데 이것
도 넘 맛있고 재미있어요!! 새로운 경험하러 방...",22.8.14.일.일
패밀리레스토랑,"남자친구랑 데이트갔습니다. 러시아 음식은 서로 처
음이라 신기하고 색다른 경험과 함께 맛도 있어서 즐
거운 데이트 했습니다 ~ 💕💕 이태원역에 데...",22.8.15.월.월
패밀리레스토랑,"러시아 음식은 처음이었는데, 입맛에는 맞더군요. 그 러나 메인 디쉬의 양 대비 가격은 3~5,000원 정도 내 리는게 적절할 듯 합니다. 주문 요리는 ‘보르시’,...",22.7.25.월.월
패밀리레스토랑,음식도 맛있구 분위기도 좋아요,23.1.2.월.월
패밀리레스토랑,조금 느끼하긴 했지만 대표메뉴를 먹업ㆍ니 좋았어요~,22.12.30.금.금
패밀리레스토랑,"코시국에 떠난 러시아 여행~!!! ✈️✈️ 진짜 가게 인테 리어, 분위기 너무 좋았고 음식도 맛있었어요 :) 종업 원분들도 현지인이신 것 같은데 한국어 엄청 능...",22.6.26.일.일
패밀리레스토랑,맛있는데 양이 적어요ㅠㅜ 엄청난 맛집은 아니지만 뭘 시켜도 실패하진 않을 듯 해요,22.9.2.금.금
패밀리레스토랑,맛있었습니다 요즘처럼 날씨 좋고 바람 살랑살랑 불 때 이태원 느낌 느끼면서 이색적인 음식을 먹기에 가 장 최적인 장소입니다 삼사나 플로브 같은 경우...,22.6.5.일.일
패밀리레스토랑,메인스트리트에 있지만 복잡하지않고 매장이 넓고 쾌 적해요 전통옷을 입고 서빙해주고 매장 내부 곳곳 러 시아 느낌 물씬나 러시아온듯한 분위기 삼사랑 ...,22.6.7.화.화
패밀리레스토랑,넘넘 맛있었어요!! 제취향에 딱!! 양고기 좋아하는 사람추천,22.8.26.금.금
패밀리레스토랑,Borscht 수프가 너무 그리워서 먹고싶었는데 여기서 먹게되서 너무 좋았어요!😊 직원분들 친절하시고요. 인테리어가 너무 좋아요. 새로운걸 먹어본답시...,22.7.6.수.수
패밀리레스토랑,"13년만에 다시 왔네요ㅎㅎ 먹으려고 했던 메뉴가 없
어져서 아쉽지만 그래도 다른 메뉴들도 너무 맛있네
요ㅎㅎ 아 그리고 러시아 맥주가 없어서 아쉬웠...",6.13.목
패밀리레스토랑,"사람 입맛마다 맞을지 안 맞을지는 잘 모르지만 저랑 
회사동료들 입맛엔 맛있었어용ㅎㅎ 가격대비 양은 좀
 작은편? 분위기 있고 특색있음ㅎㅎ",4.19.금
패밀리레스토랑,"러시아 음식이 이렇군요?!?!
넘나 새롭고 신기해요!!",6.7.금
패밀리레스토랑,술도 좋고 음식도 좋고,6.12.수
패밀리레스토랑,러시아 전통 장식들과 전통의상 입은 직원분들 덕분 에 러시아 느낌 뿜뿜! 러시아메뉴는 처음인데 메뉴를 잘 골라서 그런지 전혀 낯선 맛이 아니었어요! *...,1.20.토
패밀리레스토랑,이태원에 있는 러시아 식당 트로이카! 매력있네요 💗,4.10.수
패밀리레스토랑,보르쉬 스프는 맛있어요. 전체적으로 가격대비 양은 많이 적어요. 만두튀김은 크기는 큰데 속이 거의 없는 공갈만두라고 생각하시면 될듯해요. 오보쉬에...,3.31.일
패밀리레스토랑,👍진심 러시아 여행 온 듯한 느낌을 받을 수 있는 곳! 👍그리고 현지 종업원분의 친절함에 앉자마자 기분 좋아짐! 👍그냥 식당보단 러시아 문화를 체험...,23.9.9.토.토
패밀리레스토랑,분위기 제대로,3.29.금
패밀리레스토랑,맛있어요 다만 비싸구 양이 적어요,3.21.목
패밀리레스토랑,"러시아 음식, 이태원4번출구 도보3분, 에피타이저, 샐
러드, 메인메뉴까지 골고루 먹었는데 맛남!!!! 가족, 
연인, 친구들이랑 가도 좋은 가게 입니다, 추천...",23.9.30.토.토
패밀리레스토랑,러시아 음식 먹어보고 싶어서...,23.11.19.일.일
패밀리레스토랑,음식이 맛있어요,23.12.2.토.토
패밀리레스토랑,러시아분들이 서빙하고 직접 음식을 만드는 러시아요리집. 일단 부담없이 먹을수있어요. 분위기 독특하고! 가격대는 좀 있어요,23.10.1.일.일
패밀리레스토랑,러시아 현지음식이 먹어보고싶어서 찾아간 곳! 따뜻 한 색감의 인테리어에 러시아 전통 인형 같은 소품으 로 가득한 공간에 현지인이 서빙해주시고 현지...,23.5.26.금.금
패밀리레스토랑,러시아 음식은 이국적이지만 맛있습니다.,23.12.23.토.토
패밀리레스토랑,러시아 음식!,1.15.월
패밀리레스토랑,친절하고 맛있게 먹었어요,23.11.24.금.금
패밀리레스토랑,"맛있어요. 한국 사람 입맛에도 잘 맞고, 종업원 분들도 친절. 또 찾고 싶음.",23.11.19.일.일
패밀리레스토랑,러시아 음식 처음 먹어보는데 특히 저 스튜가 맛있어요! 종업원이 다 러시아 사람이라 소통은 잘 안돼요 쩝,23.11.2.목.목
패밀리레스토랑,러시아 음식이라 생소해서 긴장하고 갔는데 맛있게 잘 먹었어요. 고기만두 맛있어요. 감자요리는 처음에 향신료 맛이 강했는데 먹다보니 중독성 있더라...,23.6.10.토.토
패밀리레스토랑,,1.20.토
패밀리레스토랑,손님과 같이 갔는데 맛이좋았어요,23.9.9.토.토
패밀리레스토랑,맛있어요,23.12.24.일.일
패밀리레스토랑,러시아음식이 생각보다 맛있네요. 분위기도 색다르고 좋았어요,23.9.28.목.목
패밀리레스토랑,"오랜만에 왔는데 여전히 존맛! 보르쉬 한입 떠먹는 순
간 감동이ㅠㅜ 스메타나도 추가요청드리면 주시구 넘
친절하시구 다좋은데 가격이 많이 올라서 아싑...",23.7.26.수.수
패밀리레스토랑,음식이 너무 만족 스러워요^^*,23.8.6.일.일
패밀리레스토랑,"러시아 전통음식을 한국에서 접하기 쉽지 않은데 먹
어볼 수 있어서 좋았음. 먹은 음식중에서는 삼사가 특
히 만족스러웠다. 홀 직원이 외국인이시지만 한...",23.4.28.금.금
패밀리레스토랑,음식이 맛있어요. 친절합니다. 러시아분위기를 느낄수 있어요.,23.10.2.월.월
패밀리레스토랑,"찌개 같은 거랑 메뉴 하나 맛있게 먹었는데 영수증에 
안 써있네ㅠㅠㅠ아쉽 암튼 맛있음 화장실 넓고 깨끗
함 가격 좀 높은 편 계단 올라가는 게 조금 힘들...",23.7.8.토.토
패밀리레스토랑,제 취향은 아니네요....,23.10.10.화.화
패밀리레스토랑,음식이 다 맛있어요,23.12.29.금.금
패밀리레스토랑,대존맛 맛집 발견입니다. 진짜 맛있어서 눈물날 뻔….. 양고기 좋아하는데 진짜 여기 양파이 완전 미쳤습니 다 여긴 저만 먹긴 아까워서 가족들 데리고 다...,23.1.25.수.수
패밀리레스토랑,러시아음식 특별한 경험이있어요 저는 잘 모라서 반찬만 시켜먹은 느낌인데 담에는 메밀밥이량 만두량 이랗게 시켜서 같이 먹으면 더 맛난걸같아요,23.4.2.일.일
패밀리레스토랑,감사합니다,23.9.18.월.월
패밀리레스토랑,러시아 음식점으로 깔끔하고 맛나요,23.7.16.일.일
패밀리레스토랑,ㅎㅎㅎ 러시아? 음식이라고 해서 호기심에 방문해봤 는데 맛있었습니다~~ 직원분들도 친절하시고 멋있는 러시아 전통 복장 같은것을 입고계셔서 신선했...,23.2.11.토.토
패밀리레스토랑,"처음 맛 본 러시아 전통 음식 정말 맛있고 입맛에 잘 맞았어요 !! 에피타이저부터 메인디쉬, 디저트까지 다 양한 식재료로 메뉴 구성이 다양해 골라먹기 좋...",23.1.17.화.화
패밀리레스토랑,맛있고 특이한데 비싸고 불친절해요. 만두피는 평범 한데 속재료가 신기하고 연어요리 추천해요ㅎㅎ 근데 보르쉬는 저거 하나나와요ㅠ 인테리어 좋고 안...,23.4.8.토.토
패밀리레스토랑,러시아는 안가봤지만 러시아의 맛을 한국에서도 느끼 게해주는 찐맛집입니다🤭 현지인분이 운영하셔서 그 런지 러시아 여행 갔다온 느낌이네요 맛도 너무...,23.1.14.토.토
패밀리레스토랑,러시아음식이 처음인데 트로이카에서 잘 입문했어요. 보르쉬는 꼭 드셔보세요! 연어만두도 넘 맛있었습니 다! 사진보여주시면서 주문하면 그대로 안내해...,22.12.5.월.월
패밀리레스토랑,이태원 이색데이트 맛집이네요 저는 러시아 음식이 이렇게 맛있는 줄 몰랐어요 완전 찐 맛집!! 다른 레스 토랑가는것보다 이색 맛집 찾으시면 여기강추 ...,22.12.1.목.목
패밀리레스토랑,"두번째 방문! 러시아 전통요리를 먹고 싶을 때 옵니다. 주문 후 기다리며 둘러 보면, 전통의상 입으신 직원 분께서 테이블 청소 하실 때 꼼꼼하게 닦으시는...",23.5.19.금.금
패밀리레스토랑,매장 분위기가 완전 러시아 그 잡채..! 주방 분들도 점 원 분들도 전부 외국 분이라 해외여행 온 느낌이었어 요! 한국말은 전부 굉장히 유창하심니다.. 진짜 ...,22.12.21.수.수
패밀리레스토랑,"인테리어가 이국적이고 가게 모든분들이 러시아분들 이라 외국에 온것 같아, 간만에 색다른 분위기를 느낄 수 있어서 좋았어요. 체부레키 커다란 만두튀김...",22.12.17.토.토
패밀리레스토랑,러시아 음식 두번째로 먹어봤는데 정말 맛있어요. 직 원분들도 친절하고 한국말 잘해요. 매장이 넓고 화장 실이 엄청 넓고 깨끗해서 좋았어요. 아쉬운건 ...,23.3.5.일.일
패밀리레스토랑,처음 먹어본 러시아 전통요리였는데 너무 맛있었어요 러시아 현지인들이 운영을 해서 더 이색적이고 인테 리어도 이색적이고 이뻐서 더 좋았어요 메뉴도 ...,23.1.3.화.화
패밀리레스토랑,굿,23.9.28.목.목
패밀리레스토랑,"러시아 음식 처음이었는데 신세계이고 맛있었어요 러 시아 여행 유튜브 보면 샤슬릭 꼭 나와서 남자친구랑 골랐는데 기대 이상이었고 전통 수프, 빵, 고기 ...",22.12.17.토.토
패밀리레스토랑,굿,23.9.24.일.일
패밀리레스토랑,이태원역 도보 5분 거리에 위치해 접근성이 뛰어나요! 낯선 음식이 처음이신 분들도 가볍게 즐기기 좋은요 리🥰 재료들도 전부 신선하고 러시아 음식을 ...,22.12.5.월.월
패밀리레스토랑,"러시아 현지 분들이 하셔서 러시아에서 먹던 맛이랑 똑같아요! 개인적으로는 현지 맛집보다 훨씬 맛있을 정도!! 😍 다들 한국말도 잘하시고, 완전 친절...",22.11.23.수.수
