가게 이름,댓글,작성 날짜
이자카야,분위기가 너무 좋고 음식도 맛있어요 친구들이랑 왔는데 다음에 연인이랑도 오면 너무 좋을것같아요!:),5.26.일
이자카야,"우니가 진짜 jmt였습니다 맛있고 하이볼도 달다구리
해서 존맛!! +근데 가격이..너무 비싸요ㅠㅠㅠㅠ돈값
하는 느낌은 아님",6.17.월
이자카야,홍대공감 처음 가봤는데 분위기 너무 좋네요. 2명이 가도 룸이용할 수 있어서 데이트 추천하고 싶어요. 음식도 맛있어요. 식사로도 괜찮고 술안주로도 👍,2.6.화
이자카야,입장하자마자 보이는 꽃인테리어가 눈길을 사로잡고 ~ 독립된 공간도 너무 좋았어요~^^ 주문한 치즈해물 오꼬노미야끼와 얼큰소고기나베도 무척 맛있...,23.12.22.금.금
이자카야,"안주가 맛있고 술 종류가 많아요 6시에 왔는데 예약없
이 이용할 수 있었어요 직원분들이 너무 친절해요 추
천!!",5.19.일
이자카야,맛있습니다 ㅎㄹ 분위기도 좋아요 ㅎㅎ,7.4.목
이자카야,분위기가 좋아요!!,7.3.수
이자카야,단체모임이라 조용한곳 검색해서 룸 이자카야라는 메 리트때문에 예약했는데요 들어갈때 바로 들어갈수있 는점과 친구들과 조용히 얘기할수있는 룸으로 ...,2.24.토
이자카야,"너무 맛잇어요~
다음에 또 올게요~",6.19.수
이자카야,너무 맛있고 직원분이 너무 친절해서 좋아요 또 오고 싶어용,6.30.일
이자카야,룸이 프라이빗하고 안주가 맛있어요. 보는것보다 규모가 큰 이자카야네요 친구들이랑 오거나 회사 회식으로 오기에도 좋을 것 같아요,1.28.일
이자카야,명란크림파스타 진짜 맛있어요! 분위기도 좋고 룸술집이라 편안하게 얘기하기 좋아요👍,5.5.일
이자카야,왕새우튀김도 너무 마싯고 조용한 술집 찾으실때 냠 좋아요~~~!!!,4.25.목
이자카야,홍대공감은 일본감성 분위기에 안주까지 맛나서 홍대 이자카야의 진면목을 엿볼 수 있는 가게였습니다~ 사장님도 친절하시고 단체모임으로도 적합했어요ㅎㅎ,3.13.수
이자카야,맛있어요! 다만 가격대가 좀 있어요,4.23.화
이자카야,룸이 많아서 소소하게 먹기 좋을 것 같아요~,5.19.일
이자카야,매장이 깔끔하고 음식도 맛있고 너무 좋아요!!,6.18.화
이자카야,안주대박 이자카야.우니와 새우조합도 너무좋았고 다양한 해산물을 맛볼수있어서 좋았어요~ 룸에서 편안한 시간을 보낼수있어서 좋았습니다,1.9.화
이자카야,룸식 프라이빗한 공간이어서 좋았어요. 음식도 맛있고 양도 푸짐해요.,2.19.월
이자카야,"음식 분위기 다 좋았는데, 일정시간이 지나자 다음예 약자로 인해 자리를 비워달라고 하는 것이 이해는 가 지만 좀 아쉬웠다. 아마 음식이랑 그자리가 좋...",4.19.금
이자카야,친목하기좋아효옹~~~~,4.26.금
이자카야,"여자친구랑 데이트코스겸 방문해봤는데 분위기도 좋
고 맛도 좋았어요 :) 여기 정말 안주들 다 맛있네요!!!",1.25.목
