,카테고리,time,강수량
210,이탈리아음식,2024-05-18,0.0
211,이탈리아음식,2024-06-01,0.0
212,이탈리아음식,2024-05-13,0.0
213,이탈리아음식,2024-03-09,0.0
214,이탈리아음식,2024-06-12,0.0
215,이탈리아음식,2024-06-18,0.0
216,이탈리아음식,2024-03-29,1.4
217,이탈리아음식,2024-03-01,0.0
218,이탈리아음식,2024-03-01,0.0
219,이탈리아음식,2024-01-20,0.4
220,이탈리아음식,2024-05-29,0.0
221,이탈리아음식,2024-02-18,17.1
222,이탈리아음식,2024-02-16,0.0
223,이탈리아음식,2024-05-01,0.0
224,이탈리아음식,2024-02-03,0.0
225,이탈리아음식,2024-02-24,2.3
226,이탈리아음식,2024-05-28,0.0
227,이탈리아음식,2024-03-15,0.0
228,이탈리아음식,2024-03-09,0.0
229,이탈리아음식,2024-02-09,0.0
230,이탈리아음식,2023-12-29,0.0
231,이탈리아음식,2023-12-28,0.0
232,이탈리아음식,2024-01-31,0.0
233,이탈리아음식,2024-05-14,0.0
234,이탈리아음식,2024-04-23,0.0
235,이탈리아음식,2024-01-19,0.0
236,이탈리아음식,2024-03-08,0.0
237,이탈리아음식,2024-06-20,0.0
238,이탈리아음식,2024-02-24,2.3
239,이탈리아음식,2024-03-17,0.1
240,이탈리아음식,2024-03-08,0.0
241,이탈리아음식,2024-03-09,0.0
242,이탈리아음식,2024-06-24,0.0
243,이탈리아음식,2024-05-16,0.1
244,이탈리아음식,2024-02-14,0.0
245,이탈리아음식,2024-05-04,0.0
246,이탈리아음식,2024-06-21,0.0
247,이탈리아음식,2024-02-18,17.1
248,이탈리아음식,2023-12-08,0.0
249,이탈리아음식,2024-03-09,0.0
250,이탈리아음식,2024-04-09,0.0
251,이탈리아음식,2024-02-14,0.0
252,이탈리아음식,2024-02-05,3.9
253,이탈리아음식,2024-03-09,0.0
254,이탈리아음식,2024-03-10,0.0
255,이탈리아음식,2024-01-14,3.1
256,이탈리아음식,2024-02-26,0.0
257,이탈리아음식,2024-01-28,0.0
258,이탈리아음식,2024-05-23,0.0
259,이탈리아음식,2024-02-09,0.0
260,이탈리아음식,2024-04-25,0.0
261,이탈리아음식,2024-02-02,0.0
262,이탈리아음식,2024-05-23,0.0
263,이탈리아음식,2024-02-16,0.0
264,이탈리아음식,2024-04-19,0.0
265,이탈리아음식,2024-03-10,0.0
266,이탈리아음식,2023-12-05,0.0
267,이탈리아음식,2024-02-25,1.8
268,이탈리아음식,2024-02-24,2.3
269,이탈리아음식,2024-03-02,0.0
270,이탈리아음식,2024-02-03,0.0
271,이탈리아음식,2024-02-19,8.9
272,이탈리아음식,2024-02-17,0.0
273,이탈리아음식,2024-02-18,17.1
274,이탈리아음식,2024-05-27,0.0
275,이탈리아음식,2023-12-16,1.5
276,이탈리아음식,2024-02-24,2.3
277,이탈리아음식,2024-02-21,17.8
278,이탈리아음식,2024-02-07,0.0
279,이탈리아음식,2024-03-04,0.0
280,이탈리아음식,2024-02-22,8.8
281,이탈리아음식,2024-01-25,0.0
282,이탈리아음식,2024-03-02,0.0
283,이탈리아음식,2024-01-24,0.0
284,이탈리아음식,2023-12-27,0.0
285,이탈리아음식,2024-01-12,0.0
286,이탈리아음식,2024-02-18,17.1
287,이탈리아음식,2024-04-21,0.0
288,이탈리아음식,2024-02-19,8.9
289,이탈리아음식,2024-02-18,17.1
290,이탈리아음식,2024-02-29,0.0
291,이탈리아음식,2024-05-17,0.0
292,이탈리아음식,2024-03-09,0.0
293,이탈리아음식,2023-10-23,0.0
294,이탈리아음식,2024-06-19,0.0
295,이탈리아음식,2024-03-26,11.5
296,이탈리아음식,2024-02-04,0.0
297,이탈리아음식,2024-03-07,2.1
298,이탈리아음식,2024-03-02,0.0
299,이탈리아음식,2023-10-02,0.0
300,닭갈비,2024-07-04,3.6
301,닭갈비,2024-07-03,0.8
302,닭갈비,2024-07-03,0.8
303,닭갈비,2024-06-15,6.1
304,닭갈비,2024-05-06,12.3
305,닭갈비,2024-05-23,0.0
306,닭갈비,2024-05-30,0.0
307,닭갈비,2024-07-06,2.8
308,닭갈비,2024-06-21,0.0
309,닭갈비,2024-06-19,0.0
310,닭갈비,2024-06-26,0.0
311,닭갈비,2024-05-22,0.0
312,닭갈비,2024-06-19,0.0
313,닭갈비,2024-06-28,0.0
314,닭갈비,2024-05-19,0.0
315,닭갈비,2024-07-06,2.8
316,닭갈비,2024-07-03,0.8
317,닭갈비,2024-06-14,0.0
318,닭갈비,2024-05-17,0.0
319,닭갈비,2024-07-02,65.1
320,닭갈비,2024-06-28,0.0
321,닭갈비,2024-04-13,0.0
322,닭갈비,2024-05-29,0.0
323,닭갈비,2024-07-03,0.8
324,닭갈비,2024-06-22,16.5
325,닭갈비,2024-07-05,4.1
326,닭갈비,2024-06-20,0.0
327,닭갈비,2024-06-11,0.0
328,닭갈비,2024-06-14,0.0
329,닭갈비,2024-05-15,20.6
330,닭갈비,2024-06-06,0.0
331,닭갈비,2024-07-03,0.8
332,닭갈비,2024-05-23,0.0
333,닭갈비,2024-07-07,28.7
334,닭갈비,2024-06-13,0.0
335,닭갈비,2024-07-01,0.0
336,닭갈비,2024-06-15,6.1
337,닭갈비,2024-05-25,0.0
338,닭갈비,2024-07-03,0.8
339,닭갈비,2024-06-12,0.0
340,닭갈비,2024-05-30,0.0
