가게 이름,댓글,작성 날짜
"멕시코,남미음식","역시 갓잇! 연남에서도 자주 가서 먹었지만 도산공원
점도 맛있어요! 가성비도 좋구 멕시칸 먹을 때 오기 
좋은 곳이에요. 아, 주차가 편한거도 큰 장점!",4.8.월
"멕시코,남미음식",좋아하는 곳이에요 맛있습니당,6.8.토
"멕시코,남미음식",갓잇 정말 맛있어요. 그런데 직원분이 너무 불친절해 서 다시는 가고싶지않아요. 점심시간에 직장인들때문 에 바쁜건 알지만 너무 불친절해서 지인이랑 ...,5.13.월
"멕시코,남미음식",인기많은이유가있네요,6.15.토
"멕시코,남미음식","처음왔는데 맛있네용...
음식도 빨리나오고 양도 푸짐해여!!
갓잇맛집인뎡",4.6.토
"멕시코,남미음식",맛잇어요 갓잇 유명한 이유가 있네요 ㅎㅎ,7.6.토
"멕시코,남미음식",맛있고 매장도 너무 예뻐요!,6.6.목
"멕시코,남미음식",타코 양도 많고 맛있어요! 그리고 옆에 도산공원뷰라서 매장이 예뻐요! 다음에 또 먹으러 올래요!,5.17.금
"멕시코,남미음식",다양한 지점을 다녀봤지만 어딜 가도 만족스럽게 맛있어요 ㅎㅎㅎ 믿고 먹는 ‘god’잇!🤤🌮,4.11.목
"멕시코,남미음식","갓잇, GOD EAT ! 압구정로데오 타코 중에서 제일 고 급스러운 분위기, 깨끗 쾌적한 공간에서 맛있는 타코 를 푸짐하게 먹을 수 있어서 좋았어요 ! 압구정...",23.12.29.금.금
"멕시코,남미음식",매장도 예쁘고 음식도 맛있어요 대박!!,7.4.목
"멕시코,남미음식",B 세트 새우에 블루하와이 논알콜 먹었습니다~! 네이 버 알림 설정하면 또띠아 칩 서비스로 주시구요.(포장 ) 먹다가 또띠아랑 소스 부족하시면 리필해서 ...,6.23.일
"멕시코,남미음식",지인 추천으로 갓잇 처음 타코 먹으러 왔는데 여자친구 너무 맛있어 하네요!!ㅎㅎ 다음에 또 먹으로 와야겠어용 잘먹었습니당👍,5.12.일
"멕시코,남미음식","최애가 멕시칸푸드인데, 타 프랜차이즈 대비 제일 현지맛에 가깝고 맛있네요~ 앞으로도 갓잇만 이용할것 같습니다.",5.15.수
"멕시코,남미음식","대기가 좀 있었지만 맛있어요~
고수랑 또띠아 소스가 추가돼서 좋아요ㅎㅎ",6.12.수
"멕시코,남미음식",너무너무 맛있게잘먹었오용~~~,7.2.화
"멕시코,남미음식",비주얼이 미쳤고 음료….. 파인애플이 나올줄이야… 논알콜이라 더 좋았어요 친구 4명이서 패밀리 시키고 양 추가추가추가 많이 먹고싶어서 다 추가추가...,2.17.토
